NAME, LATITUDE, LONGITUDE, ADDRESS
"모살물",33.490473,126.494514,"제주특별자치도 제주시 삼무로3길 14 (연동)"
"미나리",33.490511,126.495764,"제주특별자치도 제주시 삼무로11길 34 (연동)"
"차돌집",33.490726,126.493584,"제주특별자치도 제주시 신대로10길 29 (연동)"
"어장군",33.490943605233,126.496185900658,"제주특별자치도 제주시 신대로 72 (연동)"
"대원가",33.491524,126.52702,"제주특별자치도 제주시 도남로16길 15 (도남동)"
"송죽원",33.491586,126.549199,"제주특별자치도 제주시 간월동로5길 15 (이도이동)"
"데디드",33.4919819723164,126.543441876853,"제주특별자치도 제주시 승천로 79  (아라이동)"
"돈풍년",33.4937795670783,126.541049044792,"제주특별자치도 제주시 승천로 52 (아라이동)"
"엘코테",33.4943580533312,126.544402614639,"제주특별자치도 제주시 신설로5길 5-10 (이도이동)"
"해마촌",33.4949054391205,126.527793124421,"제주특별자치도 제주시 도남로 61  (도남동)"
"디벨롭",33.4955321327759,126.533720408049,"제주특별자치도 제주시 고산동산5길 4  (이도이동)"
"스시앤",33.4965502751994,126.534600587297,"제주특별자치도 제주시 고산동산5길 21-1 (이도이동)"
"대새닭",33.498571860872,126.528362401927,"제주특별자치도 제주시 광양10길 19  (이도이동)"
"새우동",33.4987047800859,126.530767272853,"제주특별자치도 제주시 중앙로 237 (이도이동)"
"대우정",33.4988947828616,126.519578083071,"제주특별자치도 제주시 서사로 152 (삼도일동)"
"일도촌",33.5030685581689,126.542844506293,"제주특별자치도 제주시 천수로8길 7  (일도이동)"
"치로리",33.505887396405,126.540701882785,"제주특별자치도 제주시 고마로 94  (일도이동)"
"우도랑",33.5070141829619,126.942685176185,"제주특별자치도 제주시 우도면 우도해안길 322 "
"무주향",33.5074463890763,126.517446691753,"제주특별자치도 제주시 서사로8길 22-2  (삼도일동)"
"길보트",33.5089889087524,126.521651586172,"제주특별자치도 제주시 남성로 154-2  (삼도이동)"
"사랑물",33.5093214666331,126.539729307684,"제주특별자치도 제주시 고마로 55  (일도이동)"
"일팔팔",33.5122113539073,126.527023650217,"제주특별자치도 제주시 동문로 6-8 (일도일동)"
"소바니",33.5125647740452,126.525066832378,"제주특별자치도 제주시 중앙로11길 1  (이도일동)"
"도주제",33.5139398702552,126.521176591559,"제주특별자치도 제주시 관덕로3길 9-1  (삼도이동)"
"앞돈지",33.516039,126.527543,"제주특별자치도 제주시 중앙로1길 28 (건입동)"
"용두골",33.516424,126.505594,"제주특별자치도 제주시 서해안로 644 (용담삼동)"
"더블루",33.5188061398631,126.518138492511,"제주특별자치도 제주시 탑동로 66 (삼도이동)"
"탐모라",33.51880712831151,126.51813762592138,"제주특별자치도 제주시 탑동로 66 (삼도이동)"
"오로섬",33.518922,126.493416,"제주특별자치도 제주시 어영길 10-6 (용담삼동)"
"윌리스",33.5218766114956,126.586223736231,"제주특별자치도 제주시 지석15길 7 (삼양이동)"
"아사라",33.5248563354878,126.58954560972,"제주특별자치도 제주시 선사로2길 37  (삼양일동)"
"다코네",33.5291832266884,126.836774879854,"제주특별자치도 제주시 구좌읍 평대4길 20-1 "
"그계절",33.5318190555337,126.818509470905,"제주특별자치도 제주시 구좌읍 한동로 119 "
"해녀촌",33.553665230496,126.70988954878,"제주특별자치도 제주시 구좌읍 동복로 33 "
"넘은봄",33.5579832476993,126.75128950923,"제주특별자치도 제주시 구좌읍 김녕로1길 75-1 "
"돈사돈(별관)",33.481679,126.470795,"제주특별자치도 제주시 광평동로 15 (노형동)"
"태백산(본점)",33.494740419269,126.467202329112,"제주특별자치도 제주시 도공로 154-12 (이호이동)"
"칠본가(본점)",33.5023246575355,126.510717896715,"제주특별자치도 제주시 서천길 1  (용담이동)"
"덕성원(중문점)",33.2492408909928,126.430046452651,"제주특별자치도 서귀포시 중문관광로 323 (중문동)"
"보름쇠(제주점)",33.4909413791558,126.545042674209,"제주특별자치도 제주시 연북로 631  (아라이동)"
"덕성원(이도점)",33.49141,126.544724,"제주특별자치도 제주시 신설로11길 8-6 (아라이동)"
"맥파이(탑동점)",33.5179873205674,126.523359458825,"제주특별자치도 제주시 탑동로2길 7 (삼도이동)"
"프릳츠(제주성산점)",33.4595987798601,126.930361087152,"제주특별자치도 서귀포시 성산읍 일출로 222 "
"돈사향(올레시장본점)",33.2493441056228,126.56092998722,"제주특별자치도 서귀포시 천지로 20  (서귀동)"
"한라원(제주신화월드점)",33.3049726791712,126.31635202613,"제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 "
"택하다, 커피",33.3454241991241,126.763482442437,"제주특별자치도 서귀포시 표선면 원님로652번길 118 "
"서광로32길27",33.4983640365882,126.529261452231,"제주특별자치도 제주시 서광로32길 27  (이도이동)"
"북성로42베이커리카페",33.5158017102182,126.520329045372,"제주특별자치도 제주시 북성로 42  (삼도이동)"
"저장고THE ESPRESSO ",33.5102119921814,126.889153625606,"제주특별자치도 제주시 구좌읍 하도13길 25 "
"르쉬느아 ",33.3049726791712,126.31635202613,"제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 "
"만선식당",33.2178729065457,126.249794723487,"제주특별자치도 서귀포시 대정읍 하모항구로 44 "
"부두식당",33.2188214636735,126.251031679557,"제주특별자치도 서귀포시 대정읍 하모항구로 62 "
"항구식당",33.219127,126.251312,"제주특별자치도 서귀포시 대정읍 하모항구로 64 "
"덕승식당",33.219245,126.251344,"제주특별자치도 서귀포시 대정읍 하모항구로 66 "
"산방식당",33.2234752539049,126.254186719523,"제주특별자치도 서귀포시 대정읍 하모이삼로 62 "
"진미명가",33.228352,126.307705,"제주특별자치도 서귀포시 안덕면 사계남로 167 "
"남경미락",33.230103,126.308753,"제주특별자치도 서귀포시 안덕면 사계남로 190-7 "
"소색채본",33.2351178178847,126.313645335479,"제주특별자치도 서귀포시 안덕면 사계남로216번길 24-61 "
"원앤온리",33.2392235100208,126.319190550487,"제주특별자치도 서귀포시 안덕면 산방로 141 "
"부두식당",33.2416973090938,126.564578999898,"제주특별자치도 서귀포시 부두로 38 (서귀동)"
"하라케케",33.242864497508,126.52771954894,"제주특별자치도 서귀포시 속골로 29-10  (호근동)"
"꺼멍목장",33.2429503789996,126.454851753683,"제주특별자치도 서귀포시 이어도로 338 (하원동)"
"동해미락",33.243672,126.568303,"제주특별자치도 서귀포시 칠십리로 133 (서귀동)"
"죽림횟집",33.244191,126.564557,"제주특별자치도 서귀포시 솔동산로 5-1 (서귀동)"
"신우가촌",33.244479,126.522625,"제주특별자치도 서귀포시 이어도로 1042 (서호동)"
"유동커피",33.2445422641819,126.563792111796,"제주특별자치도 서귀포시 태평로 406-1 (서귀동)"
"벌집식당",33.2447309579674,126.564687784883,"제주특별자치도 서귀포시 태평로 416 (서귀동)"
"더클리프",33.2450403542925,126.415599158242,"제주특별자치도 서귀포시 중문관광로 154-17 (색달동)"
"항해진미",33.2450403542925,126.415599158242,"제주특별자치도 서귀포시 중문관광로 154-17 (색달동)"
"하영횟집",33.245235,126.522353,"제주특별자치도 서귀포시 이어도로 1043 (서호동)"
"수희식당",33.245413,126.561332,"제주특별자치도 서귀포시 태평로 377 (서귀동)"
"생원전복",33.245869,126.330793,"제주특별자치도 서귀포시 안덕면 산방로 7 "
"진주식당",33.246601,126.559163,"제주특별자치도 서귀포시 태평로 353 (서귀동)"
"중앙식당",33.2466971443416,126.334929405504,"제주특별자치도 서귀포시 안덕면 화순로 108 "
"서귀샌드",33.2468268701551,126.557857908504,"제주특별자치도 서귀포시 태평로 347  (서귀동)"
"더파크뷰",33.247558,126.408116,"제주특별자치도 서귀포시 중문관광로72번길 75 (색달동)"
"마주앉아",33.2475793538552,126.564703173353,"제주특별자치도 서귀포시 명동로 27  (서귀동)"
"삼보식당",33.2476972084968,126.559024545325,"제주특별자치도 서귀포시 중정로 25 (서귀동)"
"망우약방",33.2485231249511,126.561402375939,"제주특별자치도 서귀포시 중앙로 43-1  (서귀동)"
"라테라스",33.249332,126.408394,"제주특별자치도 서귀포시 중문관광로72번길 67 (색달동)"
"숨도카페",33.2502906728106,126.536006813907,"제주특별자치도 서귀포시 일주동로 8941  (호근동)"
"용이식당",33.251103293481,126.560475427576,"제주특별자치도 서귀포시 중앙로79번길 9 (서귀동)"
"해심가든",33.251901,126.426607,"제주특별자치도 서귀포시 천제연로 203-4 (중문동)"
"오아시스",33.252619,126.51132,"제주특별자치도 서귀포시 신서귀로 42 (서호동)"
"불턱버거",33.2531109224146,126.448095902112,"제주특별자치도 서귀포시 일주서로570번길 1  (대포동)"
"봉꾸라주",33.2542891736067,126.505782814109,"제주특별자치도 서귀포시 신서로48번길 5  (강정동)"
"제주미향",33.255072,126.416465,"제주특별자치도 서귀포시 천제연로 99 (색달동)"
"마시오름",33.2552105008869,126.560045889923,"제주특별자치도 서귀포시 중앙로117번길 6  (서홍동)"
"제주오성",33.2557026953152,126.414666453661,"제주특별자치도 서귀포시 중문관광로 27 (색달동)"
"목포고을",33.258416,126.407129,"제주특별자치도 서귀포시 일주서로 968-5 (색달동)"
"춘심이네",33.264789,126.370777,"제주특별자치도 서귀포시 안덕면 창천중앙로24번길 16 "
"동성식당",33.2676978014372,126.589225321842,"제주특별자치도 서귀포시 토평남로 109 (토평동)"
"서연의집",33.269437,126.655663,"제주특별자치도 서귀포시 남원읍 위미해안로 86 "
"대유가든",33.2712210032043,126.64788191817,"제주특별자치도 서귀포시 남원읍 태위로2번길 2 "
"와랑와랑",33.272362,126.676564,"제주특별자치도 서귀포시 남원읍 위미중앙로300번길 28 "
"라룬블루",33.2725925735685,126.65076224575,"제주특별자치도 서귀포시 남원읍 태위로 27 "
