PLACE_NAME,LATITUDE,LONGITUDE
빨간맛집세화점,33.5231155581459,126.856279169601
곰탕제작소,33.2874500351288,126.302739081357
광양국수,33.5019323091933,126.531126734762
배스킨라빈스중문점,33.2519616786022,126.424068938066
비에이치씨제주화북점,33.5195501801087,126.574183378615
복음이네김밥만두,33.2502360455395,126.51147663127
고죽면칼국수제주외도점,33.4871046634112,126.431921887396
달빛주막,33.4823891619816,126.473360509762
제주크랩앤전복,33.4859928957441,126.538413623475
풍경채,33.4942890630656,126.459660403041
도어스,33.4987109026405,126.53076508755
라이징앤레스토랑,33.253289009643,126.508515551705
신화,33.4877183711787,126.491228307673
교촌치킨건입점,33.5115337180938,126.538788322384
서울빈대떡,33.5025277969522,126.542408696994
외도다해네,33.4882832016134,126.431151309132
라토커피제주,33.4987069795521,126.528165059384
소담,33.4866003926779,126.497058494176
